how,怎样，如何
train,火车
winter,冬天
chug,（发动机）发出咔嚓声
fly,放飞（风筝）
bus,公共汽车
in,在······期间，在······时候
beep,（汽车喇叭）嘟嘟声
spring,春天
by,乘，坐（交通工具）
summer,夏天
walk,行走
autumn,秋天
How about···？,（固定搭配）
skating,滑冰
goes,去（第三人称单数）
go skating,滑冰
work,工作地点；工作
warm,温暖的
wear,穿，戴
go to work,去上班
jacket,夹克，短上衣
bike,自行车
sunglasses,太阳镜
with,与······在一起；同；跟；和
cool,凉爽的；酷的
run,跳，奔跑
sweater,毛线衫
holiday,假期
glove,手套
on holiday,在度假
cold,寒冷的
then,然后
coat,外套
ship,轮船
plane,飞机
come in,进来
watches,观看（第三人称单数）
present,礼物
dumpling,水饺
weekend,周末
eat,吃
read,阅读
Chinese,中国的
come,来
hair,头发
play,演奏（乐器）
*firecracker,鞭炮，爆竹
*piano,钢琴
have,有
music,音乐
Christmas,圣诞节
listen,听
wish,祝愿
listen to..., 听......
dinner,正餐，主餐
*CD,激光唱片
*drum,鼓
love,喜爱
year,年，年份
Happy New Year,新年快乐！
